date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:02:01	255202/255202	---M--	200	added ('OK')	image/jpeg	etag:W/%223e4e2-160df0c918f%22	http://williamfelker.com/content/images/2018/01/storefront_head.jpg	williamfelker.com/content/images/2018/01/storefront_head.jpg	(from http://williamfelker.com/2017/02/20/nomad/)
21:02:05	7068/7068	---MCZ	200	added ('OK')	text/html	etag:W/%221b9c-e8HJky4qBAgX8dkTAmidFw%22	http://williamfelker.com/tag/bursting-open-the-status-quo/	williamfelker.com/tag/bursting-open-the-status-quo/index.html	(from http://williamfelker.com/)
21:02:09	11251/11251	---MCZ	200	added ('OK')	text/html	etag:W/%222bf3-86P7hAYmAIQDE1McyfXysw%22	http://williamfelker.com/2017/02/17/impact-hub/	williamfelker.com/2017/02/17/impact-hub/index.html	(from http://williamfelker.com/)
21:02:36	121426/121426	---M--	200	added ('OK')	image/jpeg	etag:W/%221da52-152fb86eaf1%22	http://williamfelker.com/content/images/2016/02/AP_ARCHIVE20140629_-71.jpg	williamfelker.com/content/images/2016/02/AP_ARCHIVE20140629_-71.jpg	(from http://williamfelker.com/2017/02/19/intel-labs/)
21:02:40	331252/331252	---M--	200	added ('OK')	image/jpeg	etag:W/%2250df4-160df0da46f%22	http://williamfelker.com/content/images/2018/01/myId_head.jpg	williamfelker.com/content/images/2018/01/myId_head.jpg	(from http://williamfelker.com/2017/02/20/nomad/)
21:04:16	528041/528041	---M--	200	added ('OK')	image/jpeg	etag:W/%2280ea9-153c5eb7af5%22	http://williamfelker.com/content/images/2016/03/AP_ARCHIVE20140629__6.jpg	williamfelker.com/content/images/2016/03/AP_ARCHIVE20140629__6.jpg	(from http://williamfelker.com/2017/02/19/intel-labs/)
21:04:19	7099/7099	---MCZ	200	added ('OK')	text/html	etag:W/%221bbb-zdgwOx/6QFl/rADKYHLbpQ%22	http://williamfelker.com/tag/enhancing-a-thriving-global-community/	williamfelker.com/tag/enhancing-a-thriving-global-community/index.html	(from http://williamfelker.com/)
21:04:23	14829/14829	---MCZ	200	added ('OK')	text/html	etag:W/%2239ed-CMb45p1yxYkrXriYH/VjKg%22	http://williamfelker.com/2017/02/17/memory-scarf/	williamfelker.com/2017/02/17/memory-scarf/index.html	(from http://williamfelker.com/)
21:07:37	1059729/1059729	---M--	200	added ('OK')	image/jpeg	etag:W/%22102b91-15a7ddd49df%22	http://williamfelker.com/content/images/2017/02/PowerHouse-2.jpg	williamfelker.com/content/images/2017/02/PowerHouse-2.jpg	(from http://williamfelker.com/2017/02/18/secret-project/)
22:22:31	6878/6878	---MCZ	200	added ('OK')	text/html	etag:W/%221ade-vrFKzOKeFLb+dgI6qQF08w%22	http://williamfelker.com/tag/giving-artifacts-memory/	williamfelker.com/tag/giving-artifacts-memory/index.html	(from http://williamfelker.com/)
